id;title;summary;link;published;topic;politik;utbildning;religion;miljo;ekonomi;livsstilfritt;samhallekonflikter;halsa;idrott;vetenskapteknik
1;"Flera skjutna i Örebro – detta har hänt";"Flera personer har skjutits i Örebro. Det här är vad som hittills är känt.";https://www.dn.se/sverige/flera-skjutna-i-orebro-detta-har-hant/;"2025-02-04 15:15:08";SamhalleKonflikter;0;0;0;0;0;0;1;0;0;0
2;"Strömmer: Mycket allvarliga uppgifter";"Flera partiledare och ministrar kommenterar nu våldsdådet vid en skola i Örebro.";https://www.dn.se/sverige/strommer-mycket-allvarliga-uppgifter/;"2025-02-04 15:14:29";SamhalleKonflikter;0;0;0;0;0;0;1;0;0;0
3;"Sandra Stiskalo: Vettlös hosiannastämning när Jens Stoltenberg återvänder till Norge";"Jens Stoltenberg återvänder för att tjäna potatislandet Norge som ny finansminister. Tilltron till hans förmåga känner inga gränser, skriver Sandra Stiskalo";https://www.dn.se/kultur/sandra-stiskalo-vettlos-hosiannastamning-nar-jens-stoltenberg-atervander-till-norge/;"2025-02-04 15:05:57";;0;0;0;0;0;0;0;0;0;0
4;"Pingisstjärnan vidare – nu väntar världsettan";"Det krävdes en tuff femsetare för att slå ut en ”spektakulär” japan. Nu lär bordtennisstjärnan Anton Källberg behöva plocka fram något alldeles extra. I åttondelsfinal av stortävlingen i Singapore väntar världsettan Wang Chuqin.";https://www.dn.se/sport/pingisstjarnan-vidare-nu-vantar-varldsettan/;"2025-02-04 15:05:45";Idrott;0;0;0;0;0;0;0;0;1;0
5;"Expert: Så ska Sverige klara sig genom tullhoten";"USA har återigen hotat med att införa tullar på europeiska varor. Simon Evenett, professor vid IMD, menar att svenska företag bör öka sin export till andra länder än USA. – Det finns andra marknader som växer snabbare, säger Simon Evenett.";https://www.dn.se/ekonomi/expert-sa-ska-sverige-klara-sig-genom-tullhoten/;"2025-02-04 15:01:20";;0;0;0;0;0;0;0;0;0;0
6;"Insändare. Svensk skolpeng ska inte hjälpa Trump till makten";"INSÄNDARE. Det är orimligt att svenska skattepengar i slutänden har hamnar i partikassan hos republikanska politiker i USA. Svensk skolpeng ska inte kunna hjälpa Donald Trump till makten, skriver Iwan Langermo.";https://www.dn.se/insandare/svensk-skolpeng-ska-inte-hjalpa-trump-till-makten/;"2025-02-04 14:51:23";Politik;1;0;0;0;0;0;0;0;0;0
7;"EU om svenskarna: Ät mer grönsaker";"En riskfaktor för cancer sticker ut bland svenskarna. Jämfört med resten av EU äter vi för lite frukt och grönt. Sverige är också ett av de länder som kommer att få kraftigt ökade kostnader för cancervården, visar en ny rapport.";https://www.dn.se/sverige/eu-om-svenskarna-at-mer-gronsaker/;"2025-02-04 14:48:32";;0;0;0;0;0;0;0;0;0;0
8;"DN Debatt Repliker. ”M väntar inte på S – sluta vela om kärnkraften”";"DN DEBATT REPLIK. Mats Green (M): Klassisk socialdemokratisk historieförfalskning duger inte i en så viktig fråga som energiförsörjning.";https://www.dn.se/debatt/m-vantar-inte-pa-s-sluta-vela-om-karnkraften/;"2025-02-04 14:10:43";Politik;1;0;0;0;0;0;0;0;0;0
9;"Fem personer skjutna vid skola i Örebro: ”Det är kris”";"Fem personer är bekräftat skjutna i en skottlossning vid Risbergska skolan i Örebro. Enligt preliminära uppgifter till DN rör det sig om tio skadade. Insatsen pågår och polisen understryker att allmänheten fortsatt måste hålla sig undan. Enligt uppgifter till DN har polis beskjutits och nationella insatsstyrkan är på plats. – Det är kris, säger en av rektorerna.";https://www.dn.se/sverige/uppgifter-till-dn-skottlossning-pa-skola-i-orebro/;"2025-02-04 13:18:30";SamhalleKonflikter;0;0;0;0;0;0;1;0;0;0
10;"Klart: Ryssland och Belarus fortsatt avstängda";"Ryssland och Belarus får inte delta i internationell ishockey heller nästa säsong då OS avgörs. IIHF:s beslut upprör Ryssland som kommer att överklaga.";https://www.dn.se/sport/klart-ryssland-och-belarus-fortsatt-avstangda/;"2025-02-04 13:03:16";SamhalleKonflikter;0;0;0;0;0;0;1;0;0;0
11;"Insändare. Ge polisen rätt att stänga fler konton i sociala medier";"INSÄNDARE. Utvidga den EU-lagstiftning som finns för att stoppa terrorinnehåll och rekrytering på nätet till att även omfatta gängkriminalitet. Ge även svensk polis rätt att även stänga konton i sociala medier som försöker rekrytera barn till att utföra skjutningar och sprängningar, skriver Kjell Nordenstam.";https://www.dn.se/insandare/ge-polisen-ratt-att-stanga-fler-konton-i-sociala-medier/;"2025-02-04 12:38:32";SamhalleKonflikter;0;0;0;0;0;0;1;0;0;0
12;"Insändare. Svar: Slå vakt om svensk förskola som en trygg punkt för otrygga barn";"SVAR PÅ INSÄNDARE. Det krävs en mängd olika insatser för att få slut på gängkriminellas rekrytering av barn. Att ta bort förskolan, som är en trygg punkt i livet för hundratusentals barn och möjligheten för vårdnadshavare att skapa bättre ekonomiska förutsättningar för sig själva och sina barn, är inte lösningen, skriver förskollärarstudenten Caroline Undorf.";https://www.dn.se/insandare/svar-sla-vakt-om-svensk-forskola-som-en-trygg-punkt-for-otrygga-barn/;"2025-02-04 12:30:11";;0;0;0;0;0;0;0;0;0;0
13;"Susanne Nyström: Svensk välfärd har förändrats i grunden – vet du hur?";"Under de senaste decennierna har alltmer av välfärden börjat drivas av privata aktörer. Vad har fungerat bra? Vad har varit sämre? Och hur har helheten påverkats? Det är det ingen som riktigt vet.";https://www.dn.se/ledare/susanne-nystrom-svensk-valfard-har-forandrats-i-grunden-vet-du-hur/;"2025-02-04 12:17:50";;0;0;0;0;0;0;0;0;0;0
14;"Ekobrottsmisstänkt lämnade Sverige – åtalad på Cypern";"Företagaren från Norrbotten lämnade landet men greps på Cypern. Där åtalas han för flera brott efter ett spektakulärt rymningsförsök. Hemma väntar förhör om misstänkta grova bedrägerier. – Han har inte formellt delgivits misstanke i Sverige, så jag har ingen inställning att lämna i dagsläget, säger Elin Roos, försvarsadvokat.";https://www.dn.se/ekonomi/ekobrottsmisstankt-lamnade-sverige-atalad-pa-cypern/;"2025-02-04 12:14:13";SamhalleKonflikter;0;0;0;0;0;0;1;0;0;0
15;"Chatta med sparekonom Maria Landeborn";"Sänkta räntor, höjda tullar och en svajig aktiemarknad – mycket kan påverka svenskarnas plånböcker. När är det läge att köpa och sälja aktier? Hur ska man tänka med boräntan? Och kan vi rusta oss för en sämre ekonomi? Maria Landeborn, sparekonom på Danske bank, svarar på läsarnas frågor.";https://www.dn.se/ekonomi/chatta-med-sparekonom-maria-landeborn/;"2025-02-04 12:13:35";;0;0;0;0;0;0;0;0;0;0
16;"Blås & Knåda firar 50 år som vital institution";"Kooperativet Blås & Knåda bildades för 50 år sedan, vilket nu uppmärksammans med en jubileumsbok och en utställning. ”Blåset” är ingen stapplande gamling utan en livskraftig plats för konsthantverkets samtida uttryck, skriver Petter Eklund.";https://www.dn.se/kultur/blas-knada-firar-50-ar-som-vital-institution/;"2025-02-04 12:12:35";;0;0;0;0;0;0;0;0;0;0
17;"Abstrakt konst med både smittande rytm och lugn andning";"På Konstnärshuset möter målningar av den kände amerikanen Stanley Whitney verk av fyra svenskar som arbetar i en abstrakt tradition. Sebastian Johans njuter av helheten.";https://www.dn.se/kultur/abstrakt-konst-med-bade-smittande-rytm-och-lugn-andning/;"2025-02-04 12:12:31";;0;0;0;0;0;0;0;0;0;0
18;"Forssell om svenskar som ska deporteras: ”Ytterst en fråga för USA”";"USA:s president Donald Trump kommer att utvisa 1,4 miljoner icke-amerikanska invånare. Av dem är 120 svenskar, enligt den federala migrationsmyndigheten. Regeringen hade inte kännedom om deporteringen och planerar en dialog med amerikanska myndigheter. – Ytterst är det här en fråga för USA, säger Johan Forssell (M), migrationsminister.";https://www.dn.se/varlden/forssell-om-svenskar-som-ska-deporteras-ytterst-en-fraga-for-usa/;"2025-02-04 11:13:21";SamhalleKonflikter;0;0;0;0;0;0;1;0;0;0
19;"Franska regeringen kan falla – tre misstroendeomröstningar på en vecka";"PARIS. Är Frankrike på väg mot en regeringskris – igen? Premiärminister François Bayrou har bara suttit på sin post sedan i december och han har inte fått igenom någon statsbudget än. Men den närmaste veckan ställs han inför flera misstroendeomröstningar.";https://www.dn.se/varlden/franska-regeringen-kan-falla-tre-misstroendeomrostningar-pa-en-vecka/;"2025-02-04 11:00:30";;0;0;0;0;0;0;0;0;0;0
20;"Bottennotering för Demirok i förtroendeligan";"Centerns Muharrem Demirok har kört fast i botten på förtroendeligan. Det visar en mätning från DN/Ipsos. Efter två år som partiledare är han fortfarande okänd för en stor del av väljarna. – Det är en varningssignal, säger Nicklas Källebring på Ipsos.";https://www.dn.se/sverige/bottennotering-for-demirok-i-fortroendeligan/;"2025-02-04 10:42:11";;0;0;0;0;0;0;0;0;0;0
21;"Thedéen: Räntan har sänkts tillräckligt mycket";"Riksbankschefen Erik Thedéen bedömer att det inte är aktuellt med flera räntesänkningar i närtid. Det slår han åter igen fast när nu protokollet från det senaste penningpolitiska mötet redovisas.";https://www.dn.se/ekonomi/thedeen-rantan-har-sankts-tillrackligt-mycket/;"2025-02-04 10:21:01";SamhalleKonflikter;0;0;0;0;0;0;1;0;0;0
22;"Torkel S Wächter manövrerar tyngd och ansvar";"I flyttkartongerna på vinden i föräldrahemmet hittar Torkel S Wächter brev från ett koncentrationsläger. De är skrivna av hans far. Ulrika Milles har läst en drabbande dokumentärroman.";https://www.dn.se/kultur/torkel-s-wachter-manovrerar-tyngd-och-ansvar/;"2025-02-04 10:13:26";;0;0;0;0;0;0;0;0;0;0
23;"Stockholms ”sommargator” har spikats – två blir permanenta";"Minst 45 gator, kajer och torg i Stockholm blir ”sommarplatser” när staden smyckas inför sommarmånaderna. Två centrala gator blir permanenta gågator när satsningen firar tioårsjubileum.";https://www.dn.se/sverige/stockholms-sommargator-har-spikats-tva-blir-permanenta/;"2025-02-04 10:10:02";SamhalleKonflikter;0;0;0;0;0;0;1;0;0;0
24;"Janne Anderssons fyra kriterier för ett framtida uppdrag";"Han är eftertraktad men inget erbjudande har hittills uppfyllt Janne Anderssons kriterier. Kriterier som är obligatoriska för att den förra förbundskaptenen ska överväga ett nytt uppdrag. – Det har varit väldigt nära kan jag säga, berättar han.";https://www.dn.se/sport/janne-anderssons-fyra-kriterier-for-ett-framtida-uppdrag/;"2025-02-04 10:01:21";;0;0;0;0;0;0;0;0;0;0
25;"Stoltenberg finansminister i Norges nya regering";"Natos tidigare generalsekreterare Jens Stoltenberg blir ny finansminister i Norge. I dag presenterar statsminister Jonas Gahr Støre sin nya regering efter förra veckans kollaps. Stoltenbergs comeback överraskar Norge.";https://www.dn.se/varlden/uppgift-stoltenberg-finansminister-i-ny-regering/;"2025-02-04 09:00:31";Politik;1;0;0;0;0;0;0;0;0;0
26;"Jätteböter och lång avstängning för NHL-stjärna";"Minnesotas Ryan Hartman stängs av i tio matcher och får böta runt 5,4 miljoner kronor för att ha tryckt ner en motståndares huvud i isen. Avstängningen är den längsta i NHL sedan Tom Wilson stängdes av i 20 matcher 2018.";https://www.dn.se/sport/jatteboter-och-lang-avstangning-for-nhl-stjarna/;"2025-02-04 08:52:07";;0;0;0;0;0;0;0;0;0;0
27;"Peking ger blixtsnabbt svar på Trumps strafftullar";"Världens största ekonomier misslyckades med att nå en överenskommelse – och nu har länderna börjat dela ut slag som skadar de båda ekonomierna. Bara minuter efter att USA:s strafftullar trädde i kraft på tisdagsmorgonen, svarade Kina med motåtgärder.";https://www.dn.se/ekonomi/peking-ger-blixtsnabbt-svar-pa-trumps-strafftullar/;"2025-02-04 08:35:52";SamhalleKonflikter;0;0;0;0;0;0;1;0;0;0
28;"Kapade dömd advokats bolag – nu inleds rättegången";"Medan den brottsmisstänkte advokaten satt häktad kapades hans bolag av två för honom okända personer från Växjö. De fick Skatteverket att betala ut moms till bolaget och tömde ett konto på 760 000 kronor. – Att man kan lyckas med det här upplägget är helt otroligt, säger kammaråklagare Mattias Garcia las Bayones vid Ekobrottsmyndigheten.";https://www.dn.se/sverige/kapade-domd-advokats-bolag-nu-inleds-rattegangen/;"2025-02-04 08:28:37";SamhalleKonflikter;0;0;0;0;0;0;1;0;0;0
29;"Tiktokstjärnan: ”Jag lade upp igen och igen och till slut gjorde jag något som folk tyckte var kul”";"Tiktokstjärnan som blivit känd genom att driva med Melodifestivalartisterna kommer inte att få mycket sömn de närmaste veckorna. Men det är det värt, tycker 23-åriga Sam Pettersson.";https://www.dn.se/familj/tiktokstjarnan-jag-lade-upp-igen-och-igen-och-till-slut-gjorde-jag-nagot-som-folk-tyckte-var-kul/;"2025-02-04 08:13:09";;0;0;0;0;0;0;0;0;0;0
30;"Johan Croneman: Anne Lagercrantz kan vara just den kyliga publicist SVT behöver";"SVT:s nya vd har besökt ”30 minuter” och blev ordentligt grillad av Anders Holmberg, men lyckades både hålla sig sval och inskärpa vikten av att göra det. DN:s Johan Croneman har tittat, och undrar om det finns någon yrkeskår som nagelfars lika hårt som journalister.";https://www.dn.se/kultur/johan-croneman-anne-lagercrantz-kan-vara-just-den-kyliga-publicist-svt-behover/;"2025-02-04 08:12:50";;0;0;0;0;0;0;0;0;0;0
31;"Nisse: Den där arenan i Globenområdet, vad den nu heter...";"Att Globen bytte namn häromåret hindrar inte att den närmaste omgivningen håller fast vid det gamla. Liksom de flesta som pratar om arenan.";https://www.dn.se/kultur/nisse-den-dar-arenan-i-globenomradet-vad-den-nu-heter/;"2025-02-04 07:58:36";Politik;1;0;0;0;0;0;0;0;0;0
32;"Nervöst OS-kval väntar: ”Jag har barnasinnet kvar”";"Det är 18 år sedan hon debuterade i högsta serien, och 14 år sedan hon gjorde sin första match i Damkronorna. Med sin rutin kommer forwarden Lisa Johansson att ha en nyckelroll när Sverige den här veckan ska försöka kvala till OS i Milano 2026. – Även om mycket står på spel får man inte låta den pressen ta överhand, säger hon.";https://www.dn.se/sport/nervost-os-kval-vantar-jag-har-barnasinnet-kvar/;"2025-02-04 07:11:44";;0;0;0;0;0;0;0;0;0;0
33;"Karin Eriksson: Trumps seger i tullkriget blev bara en samordnare";"WASHINGTON. Trump och hans allierade gör allt för att framställa måndagens besked om paus för tullarna som en seger. Ett annat ord är reträtt.";https://www.dn.se/varlden/karin-eriksson-trumps-seger-i-tullkriget-blev-bara-en-samordnare/;"2025-02-04 07:10:24";;0;0;0;0;0;0;0;0;0;0
34;"Elecktra och Ingrosso fick pris på QX-galan";"Benjamin Ingrosso krönte ett framgångsrikt år på QX-galan på Cirkus i Stockholm. Hans ”Honey boy” vann pris för årets bästa svenska låt. Dragshowartisten Vanity Vain utsågs till årets hbtq.";https://www.dn.se/kultur/elecktra-och-ingrosso-fick-pris-pa-qx-galan/;"2025-02-04 06:30:19";;0;0;0;0;0;0;0;0;0;0
35;"Hudcancer vanligare bland rika – solresor pekas ut";"Cancer drabbar rika och fattiga på olika sätt, visar ny data från Socialstyrelsen. Mest ökar hudcancer i välmående områden, hos män som har råd att åka på solsemester. Men risken att dö i cancer är större bland svenskar i mer utsatta samhällsgrupper.";https://www.dn.se/sverige/hudcancer-vanligare-bland-rika-solresor-pekas-ut/;"2025-02-04 06:02:10";;0;0;0;0;0;0;0;0;0;0
36;"Vart är vi på väg?";"En lång flod och en mustig soppa kan leda dig rätt.";https://www.dn.se/quiz/jorden-runt/koll-pa-ungern/;"2025-02-04 06:00:00";Ekonomi;0;0;0;0;1;0;0;0;0;0
37;"Matpriserna stiger igen – nya prishöjningar väntar";"Efter en mer normal uppgång under 2024 sticker matpriserna nu iväg igen. I januari syns den största ökningen en enskild månad sedan mars 2023, enligt Matpriskollens senaste undersökning.";https://www.dn.se/ekonomi/matpriserna-stiger-igen-nya-prishojningar-vantar/;"2025-02-04 05:46:31";;0;0;0;0;0;0;0;0;0;0
38;"Hanna Hellquist: Jag har alltid varit en missbrukare";"Jag har jämt velat ha mer – mer vin, mer sås, mer glass, fler hus. När man vet det om sig själv blir allt som man drar igång en källa till oro.";https://www.dn.se/sverige/hanna-hellquist-jag-har-alltid-varit-en-missbrukare/;"2025-02-04 05:34:15";SamhalleKonflikter;0;0;0;0;0;0;1;0;0;0
39;"Lisa Magnusson: Intensivt föräldraskap är det sista skriket – du kan vara drabbad utan att själv veta om det";"Det senaste inom uppfostran är att ta den så kallade curlingen ett steg längre: Nu räcker det inte att fixa en massa åt sina ungar, nej, man måste främja barnens utveckling i allt man gör. Inte undra på att folk blir utbrända.";https://www.dn.se/ledare/lisa-magnusson-intensivt-foraldraskap-ar-det-sista-skriket-du-kan-vara-drabbad-utan-att-sjalv-veta/;"2025-02-04 05:15:20";;0;0;0;0;0;0;0;0;0;0
40;"Tidiga hämtningar – för vems skull?";"Känner du stress över att hämta tidigt på förskolan? Du är inte ensam. Tidiga hämtningar är ett fenomen som experter noterat allt mer. – Men du bör ställa dig frågan: Varför gör jag detta egentligen? säger psykologen Elia Psouni.";https://www.dn.se/insidan/tidiga-hamtningar-for-vems-skull/;"2025-02-04 05:14:55";;0;0;0;0;0;0;0;0;0;0
41;"Koranbrännaren som direktsände in i döden";"Sommaren 2023 bränner Salwan Momika kopia efter kopia av koranen. Han har med sig bacon till sina demonstrationer och torkar skorna med koransidor. Han lyckas försämra hela Sveriges anseende i stora delar av världen och skaffar sig fiender långt utanför Sveriges gränser. Sedan dess har han levt med ett pris på sitt huvud. Nu har han skjutits till döds – mitt under en livesändning på Tiktok. Programledare: Elinor Ahlborn. Med DN:s reportrar Saeed Alnahhal och Ulrika By. Producent: Emma Lukins.";https://www.dn.se/podd/spotlight/koranbrannaren-som-direktsande-in-i-doden/;"2025-02-04 01:00:00";SamhalleKonflikter;0;0;0;0;0;0;1;0;0;0
42;"von der Leyen: EU redo att svara med bestämdhet";"EU kommer att svara med bestämdhet på orättvis behandling från Trump-administrationen. Det säger Europeiska kommissionens ordförande Ursula von der Leyen, efter Trumps hot om handelstullar mot EU. – Vi är redo, säger hon.";https://www.dn.se/varlden/von-der-leyen-eu-redo-att-svara-med-bestamdhet/;"2025-02-03 23:20:57";;0;0;0;0;0;0;0;0;0;0
43;"Ryssarna luras: Svart färg och attrapper";"Ryssland målar sina drönare svarta för att dölja dem i natthimlen och skickar drönarliknande attrapper med skräp för att lura motståndaren, enligt ukrainska soldater. – Vilseledning är en jätteviktig del av kriget. Lyckas man med det så slösar motståndaren både pengar, tid och energi, säger militärexperten Roger Djupsjö.";https://www.dn.se/varlden/ryssarna-luras-svart-farg-och-attrapper/;"2025-02-03 21:39:13";SamhalleKonflikter;0;0;0;0;0;0;1;0;0;0
44;"Michael Winiarski: Varför angriper Trump USA:s vänner?";"Efter de två kaotiska veckor som har följt på Donald Trumps installation som president börjar ett mönster framträda: en stor del av Trumps beslut missgynnar amerikanerna själva och är riktade mot USA:s vänner och naturliga allierade. Däremot är de gynnsamma för fiender som Ryssland.";https://www.dn.se/varlden/michael-winiarski-varfor-angriper-trump-usas-vanner/;"2025-02-03 20:27:02";SamhalleKonflikter;0;0;0;0;0;0;1;0;0;0
45;"Sprängningarna kan leda till dyrare försäkringar";"Många av sprängningarna under januari orsakade skador på bostäder. Det kan bli kostsamt för försäkringsbolagen – men även för bostadsägaren. – Om det fortsätter som det gör nu är det inte osannolikt att försäkringsbolagen kan behöva höja premierna, säger Camilla Kågström, jurist på Konsumenternas Försäkringsbyrå.";https://www.dn.se/ekonomi/drabbade-maste-betala-nar-bostaden-sprangs/;"2025-02-03 20:20:01";;0;0;0;0;0;0;0;0;0;0
46;"Björn Wiman: Därför får Bruno K. Öijer DN:s Kulturpris";"Bruno K. Öijer får DN:s Kulturpris för att han gestaltar sorgen över en värld som försvinner – och ger kraft att leva i den. Hans poesi lyser upp världen, skriver DN:s kulturchef Björn Wiman.";https://www.dn.se/kultur/bjorn-wiman-darfor-far-bruno-k-oijer-dns-kulturpris/;"2025-02-03 20:00:09";;0;0;0;0;0;0;0;0;0;0
47;"Poeten Bruno K. Öijer får DN:s Kulturpris";"Han beskrivs som en ”folklig outsider”, hämtar gärna kraft ifrån skogen och tystnaden, och tar emot priset med glädje – men också med ett tydligt förbehåll. DN:s Kulturpristagare 2025 är poeten Bruno K. Öijer.";https://www.dn.se/kultur/poeten-bruno-k-oijer-far-dns-kulturpris/;"2025-02-03 20:00:06";;0;0;0;0;0;0;0;0;0;0
48;"DN Debatt. ”Utan både morot och piska famlar skolan efter svar”";"DN DEBATT. Värdegrund – där har ni ordet som ska leda svensk skola in i framtiden. Synd bara att konkretion helt saknas. Skolor ska jobba främjande och förebyggande, men inte på ”fel” sätt (det rätta viset preciseras aldrig). Mjuka tag har inte misslyckats, snarare handlar det om inga tag. Ändå ropas det efter piskan nu igen, skriver fyra pedagoger och skolforskare.";https://www.dn.se/debatt/utan-bade-morot-och-piska-famlar-skolan-efter-svar/;"2025-02-03 20:00:00";SamhalleKonflikter;0;0;0;0;0;0;1;0;0;0
49;"Thord Eriksson: Joseph Popa tvingades krypa fram av smärta på Migrationsverkets förvar";"Migrationsverkets tjänstemän uppfattar Ulf Kristerssons uttalanden som beställningar. Den önskade leveransen kommer i form av beslut som fattats utan hänsyn till de direkt berördas människovärde, skriver Thord Eriksson.";https://www.dn.se/kultur/thord-eriksson-joseph-popa-tvingades-krypa-fram-av-smarta-pa-migrationsverkets-forvar/;"2025-02-03 19:44:33";Politik;1;0;0;0;0;0;0;0;0;0
50;"Prover från asteroid ifrågasätter idé om livets början";"På asteroiden Bennu finns nästan alla de molekyler som behövs för att liv ska kunna uppstå. Ändå gjorde forskarna ett överraskande fynd som får dem att tvivla på hur livet på jorden egentligen började.";https://www.dn.se/sverige/prover-fran-asteroid-ifragasatter-ide-om-livets-borjan/;"2025-02-03 19:42:02";;0;0;0;0;0;0;0;0;0;0
51;"USA-expert: Inte lika lätt för Trump att dominera EU";"Kanadas och Mexikos eftergifter får Donald Trump att skjuta de höga handelstullarna på framtiden. Men det kommer inte gå lika lätt att komma överens med Kina eller EU, tror de experter DN talat med. – Det är lätt att dominera mindre stater, men Europa och Kina är inga småstater, säger Jan Hallenberg på Utrikespolitiska institutet.";https://www.dn.se/varlden/usa-expert-inte-lika-latt-for-trump-att-dominera-eu/;"2025-02-03 19:38:50";SamhalleKonflikter;0;0;0;0;0;0;1;0;0;0
52;"Svensk guldjakt, amerikanskt dream team och ny gren – allt om alpina VM 2025";"Nu börjar VM-vintern 2025. Alpina VM – i Saalbach i Österrike – är först ut. Når comebackande Lindsey Vonn pallen? Hur mår egentligen Mikaela Shiffrin efter skräckskadan? Ska det, äntligen, klaffa för svenska OS-ettan Sara Hector i ett VM? Och blir det norsk sambadans? Här är allt du behöver veta.";https://www.dn.se/sport/svensk-guldjakt-amerikanskt-dream-team-och-ny-gren-allt-om-alpina-vm-2025/;"2025-02-03 19:02:42";;0;0;0;0;0;0;0;0;0;0
53;"Spökbyn vaknar till när kärnkraften får förlängt liv";"DOEL. I år skulle alla belgiska kärnkraftverk ha släckts ner. Men Rysslands krig mot Ukraina fick regeringen att tänka om. I spökbyn Doel, som ligger granne med en reaktor, hoppas de få kvarvarande invånarna på en blomstrande framtid.";https://www.dn.se/varlden/spokbyn-vaknar-till-nar-karnkraften-far-forlangt-liv/;"2025-02-03 18:54:37";SamhalleKonflikter;0;0;0;0;0;0;1;0;0;0
54;"Här våras det för en ny atomålder";"BRYSSEL. De svenska planerna på ny kärnkraft bleknar i jämförelse med satsningar i Europa. Många trodde att fler länder skulle följa Tysklands exempel och lägga ner kärnkraften. Men det blev tvärtom.";https://www.dn.se/varlden/har-varas-det-for-en-ny-atomalder/;"2025-02-03 18:54:32";;0;0;0;0;0;0;0;0;0;0
55;"Heta sportmånaden – så ser du alla mästerskap";"Grattis, alla sportdårar där ute. I februari är tablåerna fyllda med högklassig idrott. Så här följer du alla mästerskap och turneringar.";https://www.dn.se/sport/heta-sportmanaden-sa-ser-du-alla-masterskap/;"2025-02-03 18:54:03";;0;0;0;0;0;0;0;0;0;0
